,x,y,w,h,label,z,d,s,q
122,18,275,80,303,car,1,1,0,0
123,68,262,450,456,car,1,0,0,0
124,338,274,374,288,car,1,0,0,0
125,288,266,310,278,car,1,0,0,0
126,-12,230,142,336,car,1,1,0,0
127,392,264,420,278,car,1,1,0,0
128,480,67,492,95,traffic light,1,0,0,1
129,132,273,192,295,car,1,0,0,0
130,3,204,207,292,car,1,0,0,0
131,7,270,109,398,car,1,0,0,0
132,597,252,619,264,car,1,0,0,0
133,604,258,636,276,car,1,0,0,0
134,630,268,802,350,boat,1,0,0,0
135,218,236,238,246,car,1,0,0,0
136,193,260,217,274,car,1,0,0,0
137,282,256,308,274,car,1,0,0,0
138,318,258,342,274,car,1,1,0,0
139,30,234,262,354,car,1,0,0,0
140,314,263,338,281,car,1,0,0,0
141,100,275,180,303,car,1,0,0,1
142,580,256,606,272,car,1,0,0,0
143,630,240,792,360,car,1,0,0,0
144,44,229,182,315,car,1,0,0,0
145,424,257,446,269,car,1,1,0,0
146,570,263,650,285,car,1,1,0,0
147,528,255,566,273,car,1,0,0,1
148,467,260,499,274,car,1,0,0,0
149,530,260,566,276,car,1,0,0,0
150,530,267,556,281,car,1,0,0,0
151,533,266,557,278,car,1,0,0,0
152,545,276,571,290,car,1,0,0,0
153,554,280,584,296,car,1,0,0,0
154,550,271,584,291,car,1,0,0,0
155,542,263,612,305,car,0,0,0,0
156,592,218,798,310,car,0,0,1,0
157,652,235,742,295,car,0,0,1,0
158,524,234,550,244,car,0,0,1,0
159,694,230,762,294,car,0,0,0,0
160,654,207,800,315,car,0,0,0,0
161,216,208,236,220,car,0,0,0,0
162,648,202,800,304,car,1,0,0,1
163,682,226,750,290,car,1,0,0,1
164,72,192,122,240,truck,1,0,0,1
165,358,277,612,319,car,1,0,0,1
166,264,250,632,336,car,1,0,0,1
167,202,261,610,351,boat,1,0,0,0
168,281,260,327,284,car,1,0,0,1
169,594,259,646,285,car,1,0,0,0
170,292,250,312,266,truck,1,0,0,0
171,409,258,471,290,car,1,0,0,0
172,507,262,591,294,car,1,0,0,0
173,561,226,647,310,car,1,1,0,0
174,310,270,356,298,car,1,1,0,0
175,240,259,298,309,car,1,0,0,0
176,4,235,198,475,car,1,0,0,0
177,160,266,312,350,car,0,0,0,0
178,182,278,266,304,car,1,0,0,0
179,313,177,467,227,car,1,0,0,0
180,372,268,444,298,car,1,0,0,0
181,622,256,794,322,car,1,0,0,0
182,586,247,668,289,car,1,1,0,0
183,4,242,204,346,car,0,0,0,1
184,626,271,700,301,car,0,0,0,1
185,462,269,526,299,car,1,1,0,0
186,550,265,626,293,car,1,0,0,0
187,154,138,358,342,truck,1,0,0,0
188,494,264,574,296,car,1,0,0,0
189,466,227,592,317,car,1,0,0,0
190,505,249,667,339,car,1,1,0,0
191,258,258,326,282,car,1,0,0,0
192,165,275,235,345,bus,1,0,0,0
193,298,279,358,301,car,1,0,0,0
194,142,249,318,311,car,1,0,0,0
195,731,194,773,290,car,1,1,0,0
196,420,227,444,247,car,1,0,0,0
197,661,250,727,274,car,0,1,0,0
198,630,237,648,257,car,0,1,0,0
199,634,250,738,326,car,0,0,0,0
200,567,233,797,355,car,0,0,0,0
201,522,236,570,260,car,0,0,0,0
202,482,232,660,304,car,1,0,0,0
203,3,246,337,406,car,1,0,0,0
204,710,278,778,308,car,0,0,0,1
205,186,248,200,272,person,1,0,0,0
206,398,258,418,272,truck,1,0,0,0
207,98,512,124,560,person,1,0,0,0
208,690,248,762,316,car,1,0,0,0
209,702,270,766,292,car,1,0,0,0
210,62,241,250,353,car,0,0,1,0
211,238,242,296,268,car,1,0,0,0
212,124,216,264,318,car,1,0,0,0
213,-9,166,229,444,car,1,0,0,1
214,254,262,274,274,car,1,0,0,1
215,198,154,350,278,truck,1,0,0,0
216,233,180,301,260,truck,1,0,0,0
217,318,252,340,268,car,0,0,1,0
218,292,232,304,266,person,0,0,0,0
219,332,211,354,259,person,0,0,0,0
220,316,226,344,296,person,0,0,1,0
221,318,229,344,289,person,0,0,1,0
222,311,244,341,302,person,0,0,0,0
223,300,254,332,316,person,0,0,0,0
224,302,254,334,316,person,0,0,0,0
225,297,248,329,314,person,0,0,0,0
226,284,246,322,320,person,0,0,0,0
227,276,243,318,329,person,0,0,0,0
228,264,242,306,340,person,0,0,0,0
229,230,180,318,400,person,0,0,0,0
230,225,174,315,412,person,0,0,0,0
231,260,226,300,362,person,0,0,0,0
232,210,170,314,430,person,0,0,0,0
233,238,212,284,376,person,0,0,0,0
234,182,161,300,459,person,0,0,0,0
235,142,154,304,458,person,0,0,0,0
236,5,66,217,618,person,0,0,0,0
237,314,258,340,278,car,1,0,0,0
238,270,262,294,278,car,1,0,0,0
239,361,234,383,252,car,1,0,0,0
240,484,260,504,276,car,1,0,0,0
241,512,264,650,334,car,1,0,0,0
242,502,271,526,291,car,1,0,0,0
243,478,256,664,354,car,1,0,0,0
244,405,258,423,272,car,1,1,0,0
245,277,264,329,294,car,1,1,0,0
246,0,186,292,432,car,1,0,0,0
247,92,233,116,249,person,1,0,0,0
248,302,239,356,301,car,1,0,0,0
249,12,228,256,358,car,1,0,0,0
250,180,266,276,354,truck,1,0,0,0
251,454,204,586,318,truck,1,0,0,0
252,678,146,754,246,tv,1,0,0,0
253,531,260,559,300,person,0,1,1,0
254,2,238,148,324,car,1,0,0,0
255,504,217,574,273,truck,1,0,0,0
256,456,200,618,288,truck,1,0,0,0
257,583,180,797,390,truck,1,1,0,0
258,597,192,801,342,car,1,0,0,0
259,338,238,356,252,car,1,1,0,0
260,283,249,305,267,car,1,0,0,0
261,8,179,222,355,truck,1,0,0,0
262,56,215,152,325,truck,1,0,0,0
263,136,246,196,292,car,1,0,0,0
264,244,240,266,258,car,1,0,0,0
265,64,220,148,324,truck,1,0,0,0
266,252,264,280,278,car,1,0,0,0
267,6,170,260,360,truck,1,0,0,0
268,428,243,452,291,person,1,0,0,0
269,39,204,55,234,person,0,0,1,0
270,106,255,168,289,car,1,0,0,0
271,292,246,332,274,truck,1,0,0,0
272,90,243,182,327,truck,1,0,0,0
273,32,222,242,346,truck,1,0,0,0
274,536,246,584,272,car,1,0,0,0
275,614,224,658,254,truck,1,0,0,0
276,460,249,530,285,car,1,0,0,0
277,496,146,812,382,truck,1,0,0,1
278,704,242,764,300,car,1,0,0,0
279,640,216,746,316,truck,0,0,0,1
280,-7,142,293,350,truck,1,0,0,0
281,402,246,440,270,truck,0,0,1,1
282,380,250,462,274,truck,1,0,0,0
283,340,224,488,296,truck,1,0,0,0
284,628,226,740,310,truck,1,0,0,0
285,-8,200,216,416,car,1,0,0,0
286,-4,167,308,525,car,1,0,0,0
287,68,248,132,296,truck,1,0,0,0
288,26,230,174,308,truck,1,0,0,0
289,149,266,225,290,car,1,0,0,0
290,604,248,666,314,car,1,0,0,0
291,3,234,127,380,car,1,0,0,0
292,48,242,232,296,car,1,0,0,0
293,194,200,324,304,truck,1,0,0,0
294,274,248,296,264,car,1,0,0,0
295,-4,238,158,334,car,1,0,0,0
296,140,240,298,304,car,1,0,0,1
297,0,194,214,400,truck,1,0,0,0
298,488,258,540,284,car,0,0,1,0
299,565,202,797,392,car,0,0,0,0
300,530,210,542,238,person,0,0,0,0
301,473,198,493,244,person,1,0,0,1
302,530,220,550,268,person,0,0,0,0
303,516,220,538,268,person,0,0,0,0
304,470,225,488,253,person,0,0,0,0
305,464,226,478,256,person,0,0,0,0
306,460,226,472,260,person,1,0,0,1
307,538,234,550,264,person,1,0,0,0
308,772,222,790,266,person,1,0,0,0
309,6,254,210,320,bus,1,0,0,0
310,28,211,254,321,car,1,0,0,0
311,186,244,210,256,car,1,0,0,0
312,221,223,357,315,truck,0,0,0,0
313,0,90,312,400,truck,0,0,0,0
314,636,270,686,298,car,0,0,0,0
315,590,253,734,333,car,0,0,0,0
316,651,262,725,326,car,0,0,0,0
317,606,246,786,360,car,0,0,0,0
318,654,258,740,326,car,0,0,0,0
319,637,234,793,380,car,0,0,0,0
320,538,236,796,438,car,0,0,0,0
321,332,238,804,458,car,0,0,0,0
322,5,184,181,386,car,0,0,0,0
323,48,224,124,352,car,0,0,0,0
324,772,256,788,282,car,0,0,0,1
325,766,259,784,281,car,0,0,0,0
326,625,254,645,266,car,0,0,0,0
327,618,251,638,267,truck,0,0,0,0
328,614,250,636,266,truck,0,0,0,0
329,610,248,634,268,truck,0,0,0,0
330,598,246,640,268,car,0,0,0,0
331,602,246,644,272,car,0,0,0,0
332,586,214,712,310,car,0,0,0,0
333,642,218,738,310,car,0,0,0,0
334,644,169,792,357,car,0,0,0,0
